,case_id,state,isMetro,areaname,county,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income,pop2026
0,2346,SC,False,"Abbeville County, SC",Abbeville County,2p3c,11664.0,11860.31616,14687.484,15738.0108,8523.78732,7933.82808,5336.9766,75744.4044,53251.19921875,
1,2346,SC,False,"Abbeville County, SC",Abbeville County,1p1c,8148.0,4954.09428,12120.5724,6753.59988,4747.40556,4327.54248,4013.33976,45064.5552,53251.19921875,
2,1120,LA,True,"Acadia Parish, LA HUD Metro FMR Area",Acadia Parish,2p3c,12396.0,11128.1982,14061.9096,21372.1464,8523.74484,10130.09256,8047.80468,85659.8964,58169.6953125,
3,1120,LA,True,"Acadia Parish, LA HUD Metro FMR Area",Acadia Parish,1p1c,8700.0,4648.2858,11447.8044,9144.54204,4836.61044,5581.60068,5481.96096,49840.8048,58169.6953125,
4,2850,VA,False,"Accomack County, VA",Accomack County,2p3c,11364.0,10835.35176,15109.1928,18460.6872,8043.70092,12322.9956,8348.19504,84484.1256,59259.15625,
5,2850,VA,False,"Accomack County, VA",Accomack County,1p1c,8556.0,4525.96248,11830.31832,7921.15872,4740.111,6707.67696,6091.1994,50372.4252,59259.15625,
6,558,ID,True,"Boise City, ID HUD Metro FMR Area",Ada County,2p3c,17740.0164,12775.4628,15220.8384,16544.0856,11056.9614,17887.0236,12133.5468,103357.9332,87161.1015625,554017.0
7,558,ID,True,"Boise City, ID HUD Metro FMR Area",Ada County,1p1c,12517.956,5336.3544,10995.04692,7089.48852,6469.3206,7623.74196,6685.64424,56717.5548,87161.1015625,554017.0
8,1000,KY,False,"Adair County, KY",Adair County,2p4c,11100.0,11826.37284,15077.4252,19356.4632,8307.12888,12513.6492,7295.81256,85476.8496,48017.46484375,
9,1000,KY,False,"Adair County, KY",Adair County,2p1c,7956.0,6249.83784,13781.2056,12145.3008,5147.33532,5974.12392,7104.65256,58358.4552,48017.46484375,
10,797,IA,False,"Adams County, IA",Adams County,1p4c,10908.0,10718.88576,14521.5156,14589.9252,7836.27396,11375.12772,7350.969,77300.6952,68836.3671875,557565.0
11,797,IA,False,"Adams County, IA",Adams County,2p2c,8772.0,8784.76752,15554.4084,14720.9976,6361.50948,10310.63448,7660.83984,72165.1584,68836.3671875,557565.0
12,2836,VT,False,"Addison County, VT",Addison County,2p3c,15864.0,15594.1212,16001.8944,19768.5996,11398.51836,15794.8728,12007.3596,106429.3716,86721.6171875,
13,2836,VT,False,"Addison County, VT",Addison County,1p1c,12696.0,6513.717,12838.1868,12738.9804,6960.438,8584.19892,9081.65988,69413.1792,86721.6171875,
14,2347,SC,True,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",Aiken County,2p3c,12283.1328,10469.29104,15034.002,15968.6808,8244.10104,10318.08624,5924.6016,78241.8984,64666.42578125,183667.0
15,2347,SC,True,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",Aiken County,1p1c,9034.97604,4373.05812,11532.33252,6827.38764,4858.2594,5820.45888,4572.01572,47018.4876,64666.42578125,183667.0
16,1336,MN,False,"Aitkin County, MN",Aitkin County,2p3c,11820.0,11164.80396,15739.5756,15791.004,8328.30108,12601.1136,7385.82792,82830.6264,62395.0859375,
17,1336,MN,False,"Aitkin County, MN",Aitkin County,1p1c,8808.0,4663.5762,12491.9016,6617.89752,4881.28344,6715.626,4605.70308,48783.9876,62395.0859375,
18,327,FL,True,"Gainesville, FL MSA",Alachua County,2p3c,17141.478,12775.4628,14174.6256,18984.5688,10840.0884,13203.9084,7474.82004,94594.9512,77956.6328125,297422.0
19,327,FL,True,"Gainesville, FL MSA",Alachua County,1p1c,13119.5904,5336.3544,10269.28932,8120.68284,6687.31644,6988.60764,5292.62508,55814.4672,77956.6328125,297422.0
20,1918,NC,True,"Burlington, NC MSA",Alamance County,2p3c,13512.0,10945.16892,14264.5932,16178.118,8861.79708,14957.322,8936.57808,87655.5756,66801.1953125,189886.0
21,1918,NC,True,"Burlington, NC MSA",Alamance County,1p1c,10620.0,4571.83416,10922.9268,6917.19948,5504.60088,8397.91992,6404.62872,53339.1096,66801.1953125,189886.0
22,187,CA,True,"Oakland-Fremont, CA HUD Metro FMR Area",Alameda County,2p3c,38188.8276,14532.5496,15877.1724,19601.8608,19103.0352,19341.57,26115.7356,152760.756,122820.71875,1670896.0
23,187,CA,True,"Oakland-Fremont, CA HUD Metro FMR Area",Alameda County,1p1c,28474.3356,6070.29456,11168.00904,8400.74712,12516.882,11404.00416,15716.0088,93750.2808,122820.71875,1670896.0
24,246,CO,False,"Alamosa County, CO",Alamosa County,2p3c,13044.0,12299.5872,14527.5,15272.6484,9182.98092,13749.3756,8332.89036,86408.982,49323.58984375,
25,246,CO,False,"Alamosa County, CO",Alamosa County,1p1c,10140.0,5137.57872,11347.35936,6541.97604,5535.66948,7647.29664,5864.05476,52213.9332,49323.58984375,
26,1856,NY,True,"Albany-Schenectady-Troy, NY MSA",Albany County,1p0c,9765.16548,3755.79528,9070.1646,5668.53996,4899.17724,0.0,6583.59012,39742.4328,97041.21875,323892.0
27,3149,WY,False,"Albany County, WY",Albany County,2p2c,9756.0,10553.71284,14110.2192,21705.9228,7359.0102,20475.1008,8732.844,92692.8108,82162.515625,323892.0
28,2851,VA,True,"Charlottesville, VA HUD Metro FMR Area",Albemarle County,2p3c,20242.4484,12482.6172,15828.228,19194.006,11857.58208,19817.934,16160.8524,115583.6724,105842.1484375,
29,2851,VA,True,"Charlottesville, VA HUD Metro FMR Area",Albemarle County,1p1c,16271.0724,5214.03108,11944.63332,8210.4954,7784.9004,10511.16876,10491.77712,70428.0756,105842.1484375,
30,1253,MI,False,"Alcona County, MI",Alcona County,2p3c,11820.0,10762.13892,16039.9692,15036.4392,8182.39968,15797.3256,8068.89036,85707.1644,52728.54296875,
31,1253,MI,False,"Alcona County, MI",Alcona County,1p1c,8808.0,4495.38168,12679.2324,6462.37644,4820.33976,6596.31372,5371.25388,49232.8944,52728.54296875,
32,1424,MS,False,"Alcorn County, MS",Alcorn County,2p3c,11196.0,9993.41532,13898.6616,20596.9404,7677.76104,4538.25444,5833.5,73734.5328,54691.8359375,
33,1424,MS,False,"Alcorn County, MS",Alcorn County,1p1c,8208.0,4174.2828,11365.22316,8837.2434,4486.5894,2833.51188,4260.8244,44165.6748,54691.8359375,
34,68,AK,False,"Aleutians East Borough, AK",Aleutians East Borough,2p3c,16644.0,12985.6128,8475.92796,22309.7172,10735.97676,20986.8936,8793.28128,100931.4144,79776.171875,
35,68,AK,False,"Aleutians East Borough, AK",Aleutians East Borough,1p1c,13380.0,5531.55576,6379.69044,9559.66548,6852.40284,9964.76004,5529.3204,57197.3964,79776.171875,
36,69,AK,False,"Aleutians West Census Area, AK",Aleutians West Census Area,2p3c,23808.0,19298.8932,4032.33984,22309.7172,15619.3284,25498.0776,14244.5928,124810.944,98061.890625,
37,69,AK,False,"Aleutians West Census Area, AK",Aleutians West Census Area,1p1c,19140.0,8220.85908,2758.053,9559.66548,9913.9182,12106.7088,7830.23076,69529.4352,98061.890625,
38,603,IL,True,"Cape Girardeau, MO-IL MSA",Alexander County,1p0c,4349.68356,2936.16048,10851.96384,7069.34988,2639.94876,0.0,5396.24232,33243.3492,46540.890625,
39,1919,NC,True,"Hickory-Lenoir-Morganton, NC MSA",Alexander County,2p2c,7881.62256,8454.96312,14132.8956,16313.2164,5919.38892,11961.26148,7236.12084,71899.4712,61949.44140625,
40,2945,VA,True,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Alexandria city,2p3c,28219.4592,13837.0356,11507.25,18146.8212,15238.7268,23449.4952,20530.0476,130928.832,133892.984375,164764.0
41,2945,VA,True,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Alexandria city,1p1c,22009.4316,5779.77648,7783.39164,7761.43428,10069.12572,12437.3028,12703.4064,78543.8676,133892.984375,164764.0
42,2160,OK,False,"Alfalfa County, OK",Alfalfa County,2p3c,11244.0,11091.59184,16708.4784,22523.7588,8093.06544,16013.94,10635.85176,96310.6872,75357.734375,
43,2160,OK,False,"Alfalfa County, OK",Alfalfa County,1p1c,9036.0,4632.99504,13492.0224,9663.51564,4952.8158,6027.67236,6356.32392,54161.3436,75357.734375,
44,1254,MI,False,"Alger County, MI",Alger County,2p3c,10956.0,11164.80396,15926.2056,20439.9048,8015.2398,15624.732,9240.92208,91367.8128,60201.78515625,
45,1254,MI,False,"Alger County, MI",Alger County,1p1c,8808.0,4663.5762,12635.7816,8779.53072,4881.28344,6524.24628,6074.0274,52366.4472,60201.78515625,
46,798,IA,False,"Allamakee County, IA",Allamakee County,2p3c,11256.0,10688.92752,15501.6,17842.8912,7951.51248,11387.44704,8378.03904,83006.4204,70652.8203125,
47,798,IA,False,"Allamakee County, IA",Allamakee County,1p1c,8580.0,4464.80088,12240.7428,7665.85992,4726.64616,6858.45192,6109.29672,50645.8008,70652.8203125,
48,1255,MI,False,"Allegan County, MI",Allegan County,2p3c,13536.0,10469.29104,15577.5708,16041.7356,8698.06344,16878.324,9000.05496,90201.0408,75065.09375,
49,1255,MI,False,"Allegan County, MI",Allegan County,1p1c,10272.0,4373.05812,12052.5396,6893.4756,5306.4822,7047.69504,5839.09752,51784.3476,75065.09375,
50,1204,MD,True,"Cumberland, MD-WV MSA",Allegany County,1p0c,6032.87916,2936.16048,10312.2378,3553.47984,3249.83676,0.0,4719.44712,30804.0408,62822.24609375,
51,1857,NY,False,"Allegany County, NY",Allegany County,2p2c,8808.0,10014.03444,15182.7528,14226.0396,6819.96528,16573.4844,8565.05496,80189.3316,61645.5,
52,1920,NC,False,"Alleghany County, NC",Alleghany County,1p0c,6264.0,2873.90976,11687.99928,5854.79004,3311.02512,0.0,5635.04484,35626.77,45074.58203125,
53,2852,VA,False,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmet",Alleghany County,2p2c,8951.86152,9264.48048,15413.5044,15842.3172,6600.49956,11319.12372,8079.83568,75471.6216,60513.9375,
54,2273,PA,True,"Pittsburgh, PA HUD Metro FMR Area",Allegheny County,2p3c,15392.676,11750.499,13872.9624,12336.6852,9835.0422,21786.8904,9918.35964,94893.1176,87770.0078125,1235166.0
55,2273,PA,True,"Pittsburgh, PA HUD Metro FMR Area",Allegheny County,1p1c,11997.60792,4908.2226,10034.658,5281.74204,6125.64912,9991.67508,6505.5666,54845.1216,87770.0078125,1235166.0
56,895,KS,False,"Allen County, KS",Allen County,2p4c,10716.0,13707.8412,14947.554,21598.1544,8849.721,9744.44244,6238.13304,85801.8456,60393.80078125,407623.0
57,895,KS,False,"Allen County, KS",Allen County,2p1c,8616.0,7244.1306,13599.1068,13599.5724,5746.75044,6020.92488,7033.73436,61860.2232,60393.80078125,407623.0
58,1121,LA,False,"Allen Parish, LA",Allen Parish,2p3c,11724.0,10213.05108,14949.0084,21602.2368,7948.65888,8550.501,7373.78904,82361.244,58885.39453125,
59,1121,LA,False,"Allen Parish, LA",Allen Parish,1p1c,8700.0,4266.02532,11753.99124,9268.34184,4698.10212,4253.87664,5100.88296,48041.2212,58885.39453125,
60,2348,SC,False,"Allendale County, SC",Allendale County,2p3c,11004.0,10725.53316,13891.7244,15402.912,7873.467,7607.39424,4123.13268,70628.1624,49944.8203125,
61,2348,SC,False,"Allendale County, SC",Allendale County,1p1c,8148.0,4480.09128,11506.69632,6609.90084,4575.65556,4149.4878,3174.51156,42644.3436,49944.8203125,
62,1256,MI,False,"Alpena County, MI",Alpena County,2p3c,12444.0,11128.1982,14538.1404,15036.4392,8541.13692,15996.0576,8080.89036,85764.8616,57685.03515625,
63,1256,MI,False,"Alpena County, MI",Alpena County,1p1c,8808.0,4648.2858,11196.37788,6462.37644,4875.74304,6679.29564,5011.66008,47681.7396,57685.03515625,
64,188,CA,False,"Alpine County, CA",Alpine County,2p3c,18336.0,13507.584,19167.5844,22225.9428,11538.18528,13185.7656,13044.18,111005.238,97334.890625,
65,188,CA,False,"Alpine County, CA",Alpine County,1p1c,12816.0,5642.16324,15842.4816,9523.74168,6688.12056,7195.12872,7207.94892,64915.5816,97334.890625,
66,189,CA,False,"Amador County, CA",Amador County,2p3c,19728.0,15374.484,17987.7252,19503.2664,12719.0136,13684.1556,13468.6476,112465.2888,79965.1015625,
67,189,CA,False,"Amador County, CA",Amador County,1p1c,13788.0,6421.97316,14534.0556,8356.18212,7322.8704,7467.0864,7257.85548,65148.024,79965.1015625,
68,2853,VA,True,"Richmond, VA MSA",Amelia County,2p3c,13685.0484,11713.89336,17136.006,17644.1748,9203.0376,16379.6328,11153.42208,96915.2112,84043.65625,
69,2853,VA,True,"Richmond, VA MSA",Amelia County,1p1c,10348.31688,4892.9322,13564.7304,7545.88476,5522.5056,8687.54004,7796.15256,58358.0628,84043.65625,
70,2854,VA,True,"Lynchburg, VA MSA",Amherst County,2p3c,11234.73408,10798.7454,15597.3072,19194.006,7983.59844,15167.3352,9424.42164,89400.1464,72444.6328125,
71,2854,VA,True,"Lynchburg, VA MSA",Amherst County,1p1c,8364.70236,4510.67244,11865.78444,8210.4954,4665.25596,8044.55352,6471.77712,52133.238,72444.6328125,
72,1425,MS,False,"Amite County, MS",Amite County,2p3c,10236.0,11530.86396,14993.1612,20596.9404,7886.99268,4413.78552,6348.89868,76006.6404,47401.37109375,
73,1425,MS,False,"Amite County, MS",Amite County,1p1c,8232.0,4816.48056,12511.5924,8837.2434,4727.97912,2755.79832,5004.78924,46885.884,47401.37109375,
74,70,AK,True,"Anchorage, AK HUD Metro FMR Area",Anchorage Municipality,2p3c,20952.0,11160.44532,15658.338,21026.0292,11635.60548,27436.5936,13330.5864,121199.604,104803.0,292936.0
75,70,AK,True,"Anchorage, AK HUD Metro FMR Area",Anchorage Municipality,1p1c,14640.0,4754.07864,11174.22732,9011.46972,7027.23924,12327.9144,7084.06272,66018.99,104803.0,292936.0
76,1002,KY,False,"Anderson County, KY",Anderson County,1p3c,12216.0,8368.24872,14419.0476,11753.19288,7458.48492,12725.6292,8041.281,74981.8824,69496.6171875,223553.0
77,2458,TN,True,"Knoxville, TN HUD Metro FMR Area",Anderson County,2p4c,12474.588,14245.4028,14994.8808,19143.8832,9681.7068,12334.926,4274.92968,87150.3168,63724.82421875,223553.0
